direction,entry_price,entry,entry_ts,entry_bar,stop,target,qty,atr,score,zone,exit_price,exit_ts,exit_reason,pnl,fee,win,month
long,17658.75,17658.75,2024-05-03 13:00:00,6695,17661.226673656696,17687.20496854486,3.8728420311277243,7.904157929127674,9,17679.728125,17661.226673656696,2024-05-03 13:05:00,stop,-17.76405385183076,27.35581968687068,False,2024-05
long,17651.05,17651.05,2024-05-03 14:00:00,6707,17652.17074770898,17677.956635309594,4.079343605035668,7.47406536377589,7,17679.728125,17652.17074770898,2024-05-03 14:15:00,stop,-24.22996417637563,28.80187917586594,False,2024-05
long,17653.05,17653.05,2024-05-03 15:00:00,6719,17652.666185675098,17688.527164462063,3.078616334947118,9.85476790612889,9,17679.728125,17652.666185675098,2024-05-03 15:10:00,stop,-22.9204042868832,21.738787236655288,False,2024-05
long,18924.45,18924.45,2024-05-23 15:05:00,10542,18920.958956832623,18947.809694253207,4.655348639459395,6.488803959223452,9,18960.310849210044,18920.958956832623,2024-05-23 15:20:00,stop,-51.49198808355385,35.23996502400694,False,2024-05
short,18970.45,18970.45,2024-06-07 15:30:00,13504,18981.327077659207,18893.60315053357,1.4025292386071064,21.346347074007912,6,18960.310849210044,18981.327077659207,2024-06-07 15:35:00,stop,-25.8980637654508,10.642644317813673,False,2024-06
short,18991.15,18991.15,2024-06-10 09:00:00,13699,18995.88462277531,18968.494197511103,4.737986302677276,6.2932784691385315,5,18960.310849210044,18995.88462277531,2024-06-10 09:15:00,stop,-58.42450128658805,35.991923428835825,False,2024-06
short,18983.35,18983.35,2024-06-10 10:00:00,13711,18983.432763179884,18942.027565690514,2.571799003674846,11.478453974856617,6,18960.310849210044,18983.432763179884,2024-06-10 10:10:00,stop,-19.741394510135258,19.528544246564355,False,2024-06
short,18975.35,18975.35,2024-06-10 11:00:00,13723,18977.47468140202,18928.4389336909,2.2566086082155037,13.030851752527603,6,18960.310849210044,18977.47468140202,2024-06-10 11:15:00,stop,-21.922549603081922,17.127975261560824,False,2024-06
short,18962.05,18962.05,2024-06-10 12:30:00,13741,18970.308251123395,18924.43786994473,2.803167605170977,10.447813904241402,5,18960.310849210044,18970.308251123395,2024-06-10 12:40:00,stop,-44.410783739523126,21.26152171505293,False,2024-06
short,18989.25,18989.25,2024-06-10 13:35:00,13754,18987.735688829125,18949.714400268942,2.6472982228680713,10.982111036404573,4,18960.310849210044,18987.735688829125,2024-06-10 14:05:00,stop,-16.099249839912716,20.108083111439008,False,2024-06
short,18990.45,18990.45,2024-06-10 14:55:00,13770,18999.38484248713,18958.343208807928,3.2484210647078813,8.918553108909416,4,18960.310849210044,18999.38484248713,2024-06-10 15:10:00,stop,-53.69972166834547,24.675591123312717,False,2024-06
long,18957.95,18957.95,2024-06-10 15:55:00,13782,18954.392229575617,18995.55996690973,2.748522800762103,10.44721303047946,4,18960.310849210044,18954.392229575617,2024-06-10 16:15:00,stop,-30.621156263580254,20.84254313228317,False,2024-06
short,18994.05,18994.05,2024-07-25 09:10:00,22575,19025.903930333498,18930.342139333003,1.6135725877690394,17.696627963054453,9,18960.310849210044,19025.903930333498,2024-07-25 09:15:00,stop,-63.65794016312334,12.25931136428581,False,2024-07
short,18979.55,18979.55,2024-07-25 11:00:00,22597,18959.815383888417,18860.005772502114,0.8517369126639163,33.2067298605233,9,18960.310849210044,18959.815383888417,2024-07-25 11:05:00,stop,10.34246767118626,6.466233328300173,True,2024-07
short,18984.05,18984.05,2024-07-25 12:50:00,22619,18989.84188972314,18889.586496245865,1.07893268955183,26.239862153926566,9,18960.310849210044,18989.84188972314,2024-07-25 13:00:00,stop,-14.442064006608879,8.193004850034567,False,2024-07
short,18980.45,18980.45,2024-07-25 13:50:00,22631,19020.582491564324,18876.353787960543,0.9765986700972675,28.915614455404533,7,18960.310849210044,19020.582491564324,2024-07-25 14:05:00,stop,-46.60785078054728,7.414512891139073,False,2024-07
short,18981.15,18981.15,2024-07-25 14:50:00,22643,18991.885213669608,18885.591538486777,1.0564821695539788,26.544017087006484,9,18960.310849210044,18991.885213669608,2024-07-25 15:00:00,stop,-19.36286044134301,8.021298613051803,False,2024-07
short,18997.95,18997.95,2024-07-30 07:00:00,23368,19007.025081202413,18959.36213458915,2.607777873454717,10.718851503013587,7,18960.310849210044,19007.025081202413,2024-07-30 07:10:00,stop,-43.48276941985589,19.81697346039962,False,2024-07
short,18960.35,18960.35,2024-07-31 07:05:00,23642,18969.414985251264,18903.8075663693,1.7664804572884705,15.706231564082973,5,18960.310849210044,18969.414985251264,2024-07-31 07:20:00,stop,-29.41035438730792,13.39723509533978,False,2024-07
long,18955.75,18955.75,2024-07-31 08:00:00,23653,18975.534470911563,18998.56988089797,2.3207812895570865,11.894411360547016,5,18960.310849210044,18975.534470911563,2024-07-31 08:30:00,stop,28.318569943534087,17.596859971808698,True,2024-07
short,17432.45,17432.45,2024-08-05 08:55:00,24483,17447.480674188944,17023.711966149753,0.24379639797598449,113.53834273618034,9,17430.35,17447.480674188944,2024-08-05 09:10:00,stop,-5.364411633573613,1.6999874071585805,False,2024-08
short,17702.95,17702.95,2024-08-05 10:45:00,24505,17773.771645587512,17484.602594856195,0.4559791247722135,60.6520569843906,7,17679.728125,17773.771645587512,2024-08-05 11:05:00,stop,-35.522062228676,3.228870258754503,False,2024-08
short,17712.15,17712.15,2024-08-05 11:55:00,24519,17731.098396415327,17504.932216131027,0.4779606551210351,57.56049551915945,8,17679.728125,17731.098396415327,2024-08-05 12:05:00,stop,-12.442872291203098,3.3862843270408174,False,2024-08
short,17698.25,17698.25,2024-08-05 12:55:00,24531,17620.11744283852,17466.646507226673,0.4267813163988742,64.33430354814645,7,17679.728125,17620.11744283852,2024-08-05 13:50:00,stop,30.324202625804073,3.02131297318255,True,2024-08
short,17681.75,17681.75,2024-08-05 14:15:00,24547,17650.71642736612,17469.50107685246,0.4675992306699997,58.95803420765067,7,17679.728125,17650.71642736612,2024-08-05 14:25:00,stop,11.204085609784933,3.307189078759707,True,2024-08
short,17461.05,17461.05,2024-08-05 15:10:00,24558,17365.14149031939,17245.988293562736,0.462105233403337,59.73936289924034,9,17430.35,17365.14149031939,2024-08-05 15:20:00,stop,41.09228721703682,3.227537034286935,True,2024-08
short,17317.35,17317.35,2024-08-05 15:20:00,24560,17360.49845272879,17079.08196272045,0.419417729931876,66.18556591098508,9,17285.0625,17360.49845272879,2024-08-05 15:30:00,stop,-21.002507543756394,2.905281450174309,False,2024-08
long,22189.55,22189.55,2025-02-17 07:00:00,61816,22192.49510812573,22207.7970134342,5.459494376686887,5.0686148428334405,9,22218.18896434255,22192.49510812573,2025-02-17 07:15:00,stop,-32.378688127315876,48.45748937848501,False,2025-02
long,22190.95,22190.95,2025-02-17 08:00:00,61828,22183.395473964523,22210.095367159647,5.161925720819498,5.318157544346415,9,22218.18896434255,22183.395473964523,2025-02-17 08:30:00,stop,-84.81511648089946,45.81921422976778,False,2025-02
long,22187.25,22187.25,2025-02-17 09:00:00,61840,22182.376808086567,22205.129363610446,5.443080590895152,4.966489891790485,7,22218.18896434255,22182.376808086567,2025-02-17 09:15:00,stop,-74.83197225585195,48.30679593613539,False,2025-02
long,22174.25,22174.25,2025-02-17 12:45:00,61885,22176.74677492728,22194.064512827248,4.841553395676691,5.50403134090208,8,22218.18896434255,22176.74677492728,2025-02-17 13:00:00,stop,-30.854857026220365,42.94312615363355,False,2025-02
long,22174.35,22174.35,2025-02-17 14:35:00,61907,22169.051503563496,22195.94323396426,4.408809358457679,5.998120545627854,9,22218.18896434255,22169.051503563496,2025-02-17 14:50:00,stop,-62.4650533940925,39.10499271908641,False,2025-02
long,22184.65,22184.65,2025-02-18 07:00:00,62043,22178.299436981313,22197.351126037378,7.405028972051708,3.528090565937644,9,22218.18896434255,22178.299436981313,2025-02-18 07:10:00,stop,-112.73729353615752,65.71119039393078,False,2025-02
long,22174.25,22174.25,2025-02-18 08:05:00,62056,22175.553890691826,22187.282491886777,7.060346297666297,3.6201366352162365,7,22218.18896434255,22175.553890691826,2025-02-18 08:10:00,stop,-53.41723373781282,62.62315355641076,False,2025-02
long,22208.85,22208.85,2025-02-18 10:00:00,62079,22192.479346192144,22249.66794213534,2.225190632927918,11.338317259817376,7,22218.18896434255,22192.479346192144,2025-02-18 10:10:00,stop,-56.19539550338513,19.76756999524048,False,2025-02
long,22206.55,22206.55,2025-02-18 11:00:00,62091,22206.147015660514,22250.66342952768,2.037986956138261,12.253730424356606,7,22218.18896434255,22206.147015660514,2025-02-18 11:10:00,stop,-18.923940523732398,18.10266369633284,False,2025-02
long,22186.95,22186.95,2025-02-18 12:00:00,62103,22188.100447816287,22220.02298482671,2.7064669434507356,9.186940229641566,7,22218.18896434255,22188.100447816287,2025-02-18 12:05:00,stop,-20.90564971545449,24.019298700397723,False,2025-02
long,22204.45,22204.45,2025-02-18 13:00:00,62115,22196.18087058832,22228.16108235256,3.755633110447406,6.586411764599907,8,22218.18896434255,22196.18087058832,2025-02-18 13:10:00,stop,-64.41252326079398,33.35670704770956,False,2025-02
long,22203.15,22203.15,2025-02-18 14:05:00,62128,22199.2864288766,22228.636070055312,3.4495257017672167,7.079463904252898,8,22218.18896434255,22199.2864288766,2025-02-18 14:15:00,stop,-43.9636225248577,30.636134634077113,False,2025-02
long,22189.75,22189.75,2025-02-18 15:05:00,62140,22192.795000598264,22217.447497307807,3.14414364111143,7.69374925216899,7,22218.18896434255,22192.795000598264,2025-02-18 15:10:00,stop,-18.3331852759291,27.907104544140942,False,2025-02
long,22187.95,22187.95,2025-02-19 07:00:00,62316,22183.928606220674,22202.89627200697,5.7962879083815295,4.151742224158001,7,22218.18896434255,22183.928606220674,2025-02-19 07:05:00,stop,-74.75225465666279,51.44309851870958,False,2025-02
long,22188.55,22188.55,2025-02-19 08:00:00,62328,22188.638289345254,22206.152697946356,4.841659086253456,4.889638318432267,7,22218.18896434255,22188.638289345254,2025-02-19 08:25:00,stop,-42.54429097664506,42.97175788731565,False,2025-02
long,22180.55,22180.55,2025-02-19 09:45:00,62349,22182.041141389942,22202.189863745258,3.896967239183412,6.011073262571871,6,22218.18896434255,22182.041141389942,2025-02-19 10:00:00,stop,-28.76382153323096,34.57475067882785,False,2025-02
long,22183.65,22183.65,2025-02-19 10:55:00,62363,22176.01448128471,22218.00983421881,2.435550846565014,9.544398394113076,8,22218.18896434255,22176.01448128471,2025-02-19 11:10:00,stop,-40.20845708595142,21.611763014960793,False,2025-02
long,22174.45,22174.45,2025-02-19 14:45:00,62409,22165.964295755497,22213.535669100274,2.1227965259154726,10.857130305631362,5,22218.18896434255,22165.964295755497,2025-02-19 14:55:00,stop,-36.84216165981322,18.82873816963454,False,2025-02
