direction,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,pnl,fees,r_value,win
long,2024-10-04 09:31:00+00:00,2664.49,2024-10-04 09:41:00+00:00,2664.49,stop_be,37.85647907390444,6.711575851012274,14.123007810724188,1.1007142857138206,True
long,2024-10-04 14:01:00+00:00,2658.29,2024-10-04 14:21:00+00:00,2658.29,stop_be,36.905066551083145,7.115291295290861,13.736071306073129,1.1300000000001091,True
long,2024-10-04 14:02:00+00:00,2658.69,2024-10-04 14:46:00+00:00,2661.8342857142857,full_2r,26.504199974027074,52.63290462931373,9.869678380863158,1.5721428571428078,True
short,2024-10-09 13:45:00+00:00,2618.81,2024-10-09 13:52:00+00:00,2620.6457142857143,stop_loss,22.880176130462132,-50.393043052293955,8.391576869942938,1.8357142857144026,False
long,2024-10-14 11:50:00+00:00,2658.96,2024-10-14 12:06:00+00:00,2660.954285714286,full_2r,41.869127044353576,47.03390098661316,15.590350464021157,0.9971428571429897,True
long,2024-10-15 14:44:00+00:00,2650.07,2024-10-15 14:48:00+00:00,2650.07,stop_be,35.5157333298053,7.814180653000384,13.178154583010919,1.182142857142935,True
long,2024-10-16 09:01:00+00:00,2668.92,2024-10-16 09:14:00+00:00,2674.7757142857145,full_2r,14.353070974725947,57.66819182406583,5.367420238865586,2.9278571428571922,True
long,2024-10-16 13:37:00+00:00,2674.34,2024-10-16 14:28:00+00:00,2677.988571428572,full_2r,23.19378044955555,54.77975305992178,8.688370441690127,1.8242857142859066,True
long,2024-10-17 07:41:00+00:00,2678.19,2024-10-17 08:06:00+00:00,2678.19,stop_be,38.193705022151136,6.970900201056792,14.322090348796984,1.1150000000002365,True
long,2024-10-17 08:07:00+00:00,2678.56,2024-10-17 08:10:00+00:00,2680.405714285714,full_2r,46.18356798839151,46.60801411139313,17.323239289676106,0.9228571428570831,True
long,2024-10-18 09:06:00+00:00,2709.27,2024-10-18 09:11:00+00:00,2709.27,stop_be,28.8717160441743,10.47445957220639,10.952478263428507,1.4842857142853063,True
long,2024-10-21 08:10:00+00:00,2729.08,2024-10-21 08:13:00+00:00,2728.0842857142857,stop_loss,43.09092335493893,-59.36704532710252,16.4607973579717,0.9957142857142571,False
long,2024-10-23 08:31:00+00:00,2751.01,2024-10-23 09:42:00+00:00,2748.566428571429,stop_loss,17.437351020021445,-49.32227586774582,6.712863125250513,2.443571428571431,False
short,2024-10-25 07:37:00+00:00,2725.37,2024-10-25 07:51:00+00:00,2726.4978571428574,stop_loss,37.56043186092607,-56.69701714456569,14.334215781409114,1.127857142857465,False
long,2024-10-28 10:32:00+00:00,2736.91,2024-10-28 10:50:00+00:00,2740.9857142857136,full_2r,20.64880574427455,55.20260687780275,7.916367538347873,2.037857142856865,True
long,2024-10-29 09:07:00+00:00,2749.83,2024-10-29 09:24:00+00:00,2753.2514285714287,full_2r,24.758856382692205,53.996976211601826,9.536017756132331,1.7107142857144026,True
long,2024-10-30 13:33:00+00:00,2784.28,2024-10-30 13:40:00+00:00,2783.0378571428573,stop_loss,34.31595162164001,-55.99866091024126,13.373346717360477,1.2421428571428805,False
short,2024-11-01 15:17:00+00:00,2752.37,2024-11-01 15:30:00+00:00,2755.346428571429,stop_loss,14.226889667302846,-47.83035806469497,5.485037176365388,2.9764285714290963,False
short,2024-11-05 07:08:00+00:00,2734.56,2024-11-05 07:15:00+00:00,2735.5007142857144,stop_loss,44.75978491814737,-59.244880972250634,17.138711874244528,0.9407142857144208,False
