TOP_CLOSEST_TO_696138_48
_docs_archive/backtest_artifacts/phantom-v2-validate-P0VmO7/phantom_v5_1_trades_B.csv|rows=16884|sum_net=18283.48|final_10k=28283.48|qty=(2277.314548380501,14056.70244875232,54629.21626516863)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-YZjot4/phantom_v5_1_trades_B.csv|rows=16884|sum_net=18283.48|final_10k=28283.48|qty=(2277.314548380501,14056.70244875232,54629.21626516863)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-dZfIL8/phantom_v5_1_trades_B.csv|rows=16884|sum_net=18283.48|final_10k=28283.48|qty=(2277.314548380501,14056.70244875232,54629.21626516863)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-nfUW9h/phantom_v5_1_trades_B.csv|rows=16884|sum_net=18283.48|final_10k=28283.48|qty=(2277.314548380501,14056.70244875232,54629.21626516863)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-44Zqcx/phantom_v5_1_trades_B.csv|rows=16884|sum_net=18283.48|final_10k=28283.48|qty=(2277.314548380501,14056.70244875232,54629.21626516863)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-mGlPf7/phantom_v5_1_trades_B.csv|rows=16954|sum_net=15683.64|final_10k=25683.64|qty=(2444.2887421065425,18239.262356747375,65328.85863410009)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-E26r8o/phantom_v5_1_trades_B.csv|rows=16954|sum_net=15683.64|final_10k=25683.64|qty=(2444.2887421065425,18239.262356747375,65328.85863410009)|conf=(None,None,None)
backtest_artifacts/py_12m_2024_2025_fullyear/phantom_p2_ftmo_v2_trades_US100_P2_FTMO_V2B.csv|rows=404|sum_net=14947.13|final_10k=24947.13|qty=(0.20233921920854475,0.8265822289255783,3.488908901098396)|conf=(1.0,1.0,1.5)
_docs_archive/backtest_artifacts/phantom-v2-validate-ki59S3/phantom_v5_1_trades_B.csv|rows=5926|sum_net=14765.07|final_10k=24765.07|qty=(0.06132238531803242,0.3494110722985848,1.2561016045602653)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-V8lJYn/phantom_v5_1_trades_B.csv|rows=5926|sum_net=14765.07|final_10k=24765.07|qty=(0.06132238531803242,0.3494110722985848,1.2561016045602653)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-UsJugH/phantom_v5_1_trades_B.csv|rows=5926|sum_net=14765.07|final_10k=24765.07|qty=(0.06132238531803242,0.3494110722985848,1.2561016045602653)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-ittXGs/phantom_v5_1_trades_B.csv|rows=5926|sum_net=14765.07|final_10k=24765.07|qty=(0.06132238531803242,0.3494110722985848,1.2561016045602653)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-pAnUah/phantom_v5_1_trades_B.csv|rows=5926|sum_net=14765.07|final_10k=24765.07|qty=(0.06132238531803242,0.3494110722985848,1.2561016045602653)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-iMFv0b/phantom_v5_1_trades_B.csv|rows=5926|sum_net=14765.07|final_10k=24765.07|qty=(0.06132238531803242,0.3494110722985848,1.2561016045602653)|conf=(None,None,None)
backtest_artifacts/py_12m_2023/phantom_p2_ftmo_v2_trades_US100_P2_FTMO_V2B.csv|rows=114|sum_net=13730.31|final_10k=23730.31|qty=(1.1605338683183184,2.97671455479457,9.557844358639553)|conf=(1.0,1.0,1.5)
_docs_archive/backtest_artifacts/phantom-v2-validate-5Al3ur/phantom_v5_1_trades_B.csv|rows=17337|sum_net=13290.22|final_10k=23290.22|qty=(1988.4551804723483,16020.124856114218,69521.77690877921)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-r0BrCF/phantom_v5_1_trades_B.csv|rows=17337|sum_net=13290.22|final_10k=23290.22|qty=(1988.4551804723483,16020.124856114218,69521.77690877921)|conf=(None,None,None)
saved_runs/v7_nov01_jan31/phantom_p2_ftmo_trades_US100_P2_FTMOB.csv|rows=68|sum_net=8966.88|final_10k=18966.88|qty=(2.0358251277045185,4.68492103640575,18.99404277957105)|conf=(1.0,1.0,1.5)
_docs_archive/backtest_artifacts/phantom-v2-validate-nfUW9h/phantom_v5_1_trades_D.csv|rows=16884|sum_net=7489.88|final_10k=17489.88|qty=(1119.1538579054616,5840.195824703811,18106.240508830644)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-44Zqcx/phantom_v5_1_trades_D.csv|rows=16884|sum_net=7489.88|final_10k=17489.88|qty=(1119.1538579054616,5840.195824703811,18106.240508830644)|conf=(None,None,None)
backtest_artifacts/py_12m_2024_2025/phantom_p2_ftmo_v2_trades_US100_P2_FTMO_V2B.csv|rows=257|sum_net=7319.99|final_10k=17319.99|qty=(0.20233921920854475,0.6492411821736758,2.4057325854638103)|conf=(1.0,1.0,1.5)
_docs_archive/backtest_artifacts/phantom-v2-validate-ki59S3/phantom_v5_1_trades_A.csv|rows=3358|sum_net=7185.87|final_10k=17185.87|qty=(0.03659054074417834,0.1775727561403756,0.48914801944943187)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-ittXGs/phantom_v5_1_trades_A.csv|rows=3358|sum_net=7185.87|final_10k=17185.87|qty=(0.03659054074417834,0.1775727561403756,0.48914801944943187)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-pAnUah/phantom_v5_1_trades_A.csv|rows=3358|sum_net=7185.87|final_10k=17185.87|qty=(0.03659054074417834,0.1775727561403756,0.48914801944943187)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-ki59S3/phantom_v5_1_trades_D.csv|rows=5926|sum_net=6151.63|final_10k=16151.63|qty=(0.03146284225322537,0.14711316056281168,0.4687552667599758)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-ittXGs/phantom_v5_1_trades_D.csv|rows=5926|sum_net=6151.63|final_10k=16151.63|qty=(0.03146284225322537,0.14711316056281168,0.4687552667599758)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-pAnUah/phantom_v5_1_trades_D.csv|rows=5926|sum_net=6151.63|final_10k=16151.63|qty=(0.03146284225322537,0.14711316056281168,0.4687552667599758)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-umPoTI/phantom_v5_1_trades_A.csv|rows=2987|sum_net=5957.82|final_10k=15957.82|qty=(0.005259325116194378,0.01688528467505061,0.04890313401124385)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-UpUGpu/phantom_v5_1_trades_A.csv|rows=2987|sum_net=5957.82|final_10k=15957.82|qty=(0.005259325116194378,0.01688528467505061,0.04890313401124385)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-R1TeED/phantom_v5_1_trades_A.csv|rows=2987|sum_net=5957.82|final_10k=15957.82|qty=(0.005259325116194378,0.01688528467505061,0.04890313401124385)|conf=(None,None,None)
