DIAG|2025-12-02 13:10|M5|C=25441.45|E20=25411.98|E50=25380.68|RSI=70.17|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=22.9795|Zones=11
DIAG|2025-12-02 13:15|M5|C=25442.55|E20=25414.89|E50=25383.10|RSI=70.51|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=22.2355|Zones=11
DIAG|2025-12-02 13:20|M5|C=25446.35|E20=25417.89|E50=25385.58|RSI=71.69|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=22.2355|Zones=11
DIAG|2025-12-02 13:25|M5|C=25450.95|E20=25421.04|E50=25388.15|RSI=73.10|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=22.2355|Zones=11
DIAG|2025-12-02 13:30|M5|C=25447.25|E20=25423.53|E50=25390.46|RSI=70.08|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=22.5775|Zones=11
DIAG|2025-12-02 13:35|M5|C=25446.65|E20=25425.73|E50=25392.67|RSI=69.58|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=22.5775|Zones=11
DIAG|2025-12-02 13:40|M5|C=25441.25|E20=25427.21|E50=25394.57|RSI=65.07|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=22.5775|Zones=11
DIAG|2025-12-02 13:45|M5|C=25442.85|E20=25428.70|E50=25396.47|RSI=65.77|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=22.0071|Zones=11
DIAG|2025-12-02 13:50|M5|C=25441.05|E20=25429.88|E50=25398.21|RSI=64.20|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=22.0071|Zones=11
DIAG|2025-12-02 13:55|M5|C=25431.35|E20=25430.02|E50=25399.51|RSI=56.36|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=22.0071|Zones=11
DIAG|2025-12-02 14:00|M5|C=25435.05|E20=25430.50|E50=25400.91|RSI=58.44|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.3395|Zones=11
DIAG|2025-12-02 14:05|M5|C=25430.25|E20=25430.47|E50=25402.06|RSI=54.79|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.3395|Zones=11
DIAG|2025-12-02 14:10|M5|C=25425.55|E20=25430.00|E50=25402.98|RSI=51.39|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.3395|Zones=11
DIAG|2025-12-02 14:15|M5|C=25431.85|E20=25430.18|E50=25404.11|RSI=55.38|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=22.9476|Zones=11
DIAG|2025-12-02 14:20|M5|C=25437.75|E20=25430.90|E50=25405.43|RSI=58.79|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=22.9476|Zones=11
DIAG|2025-12-02 14:25|M5|C=25437.05|E20=25431.49|E50=25406.67|RSI=58.22|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=22.9476|Zones=11
DIAG|2025-12-02 14:30|M5|C=25413.05|E20=25429.73|E50=25406.92|RSI=42.91|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.7679|Zones=11
DIAG|2025-12-02 14:35|M5|C=25417.95|E20=25428.61|E50=25407.35|RSI=46.03|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.7679|Zones=11
DIAG|2025-12-02 14:40|M5|C=25415.25|E20=25427.34|E50=25407.66|RSI=44.58|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.7679|Zones=11
DIAG|2025-12-02 14:45|M5|C=25417.85|E20=25426.43|E50=25408.06|RSI=46.33|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=25.5855|Zones=11
DIAG|2025-12-02 14:50|M5|C=25429.85|E20=25426.76|E50=25408.92|RSI=53.61|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=25.5855|Zones=11
DIAG|2025-12-02 14:55|M5|C=25448.75|E20=25428.85|E50=25410.48|RSI=62.28|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=25.5855|Zones=11
DIAG|2025-12-02 15:00|M5|C=25443.15|E20=25430.21|E50=25411.76|RSI=58.78|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=24.2141|Zones=11
DIAG|2025-12-02 15:05|M5|C=25443.05|E20=25431.44|E50=25412.99|RSI=58.71|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=24.2141|Zones=11
DIAG|2025-12-02 15:10|M5|C=25448.85|E20=25433.10|E50=25414.39|RSI=61.33|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=24.2141|Zones=11
DIAG|2025-12-02 15:15|M5|C=25444.35|E20=25434.17|E50=25415.57|RSI=58.25|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.4122|Zones=11
DIAG|2025-12-02 15:20|M5|C=25449.75|E20=25435.65|E50=25416.91|RSI=60.79|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.4122|Zones=11
DIAG|2025-12-02 15:25|M5|C=25446.45|E20=25436.68|E50=25418.07|RSI=58.45|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.4122|Zones=11
DIAG|2025-12-02 15:30|M5|C=25438.55|E20=25436.86|E50=25418.87|RSI=53.16|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=24.4639|Zones=11
DIAG|2025-12-02 15:35|M5|C=25450.25|E20=25438.13|E50=25420.10|RSI=59.06|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=24.4639|Zones=11
DIAG|2025-12-02 15:40|M5|C=25457.05|E20=25439.93|E50=25421.55|RSI=62.06|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=24.4639|Zones=11
