<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.05	05:02:00	25647.55	25648.05	25645.45	25647.05	65	0	150
2025.12.05	05:03:00	25646.65	25648.75	25646.45	25646.95	52	0	140
2025.12.05	05:04:00	25646.45	25648.25	25646.45	25646.95	69	0	140
2025.12.05	05:05:00	25646.85	25647.75	25645.45	25646.25	65	0	140
2025.12.05	05:06:00	25645.95	25649.05	25645.95	25648.75	75	0	130
2025.12.05	05:07:00	25648.55	25648.65	25646.75	25648.55	79	0	130
2025.12.05	05:08:00	25648.65	25649.55	25647.45	25648.75	85	0	130
2025.12.05	05:09:00	25648.65	25648.65	25646.75	25647.25	48	0	130
2025.12.05	05:10:00	25646.95	25647.75	25646.05	25646.45	72	0	130
2025.12.05	05:11:00	25645.95	25647.95	25645.65	25647.55	44	0	130
2025.12.05	05:12:00	25647.45	25647.45	25641.25	25643.05	58	0	130
2025.12.05	05:13:00	25642.55	25645.65	25642.15	25645.15	65	0	130
2025.12.05	05:14:00	25644.75	25646.75	25643.85	25645.35	65	0	130
2025.12.05	05:15:00	25645.75	25646.25	25645.15	25645.75	37	0	140
2025.12.05	05:16:00	25645.45	25649.75	25645.45	25649.75	74	0	140
2025.12.05	05:17:00	25649.25	25654.15	25649.25	25653.85	77	0	140
2025.12.05	05:18:00	25654.75	25657.65	25654.25	25656.35	130	0	140
2025.12.05	05:19:00	25656.45	25657.95	25656.35	25656.45	75	0	140
2025.12.05	05:20:00	25656.75	25656.85	25654.35	25655.45	73	0	140
2025.12.05	05:21:00	25655.35	25655.95	25652.45	25652.95	61	0	140
2025.12.05	05:22:00	25652.85	25652.85	25649.95	25652.45	63	0	140
2025.12.05	05:23:00	25652.15	25653.85	25651.25	25652.75	69	0	140
2025.12.05	05:24:00	25652.35	25654.75	25652.25	25652.75	48	0	140
2025.12.05	05:25:00	25653.15	25654.35	25652.45	25653.25	60	0	140
2025.12.05	05:26:00	25653.65	25653.95	25649.25	25649.45	88	0	140
2025.12.05	05:27:00	25649.35	25650.75	25647.75	25648.45	61	0	140
2025.12.05	05:28:00	25648.25	25649.95	25646.75	25649.95	84	0	140
2025.12.05	05:29:00	25649.65	25651.95	25648.45	25651.15	67	0	150
2025.12.05	05:30:00	25651.65	25651.95	25648.95	25650.15	90	0	150
2025.12.05	05:31:00	25649.95	25651.45	25645.85	25646.85	107	0	140
2025.12.05	05:32:00	25646.65	25647.65	25641.65	25643.95	112	0	150
2025.12.05	05:33:00	25643.85	25646.75	25643.35	25646.65	102	0	140
2025.12.05	05:34:00	25646.75	25648.05	25645.35	25647.65	73	0	140
2025.12.05	05:35:00	25647.85	25650.85	25647.55	25648.35	85	0	140
2025.12.05	05:36:00	25647.65	25648.45	25646.65	25646.85	67	0	140
2025.12.05	05:37:00	25646.15	25646.15	25643.75	25645.45	82	0	140
2025.12.05	05:38:00	25645.25	25647.65	25644.85	25646.95	86	0	140
2025.12.05	05:39:00	25647.25	25649.65	25646.75	25649.35	74	0	140
2025.12.05	05:40:00	25648.95	25650.95	25647.95	25650.45	77	0	130
2025.12.05	05:41:00	25650.25	25654.75	25650.25	25650.95	92	0	130
2025.12.05	05:42:00	25650.75	25652.45	25649.45	25649.45	96	0	140
2025.12.05	05:43:00	25649.65	25652.95	25649.45	25652.15	68	0	140
2025.12.05	05:44:00	25652.25	25652.25	25650.75	25650.95	54	0	140
2025.12.05	05:45:00	25650.85	25651.75	25649.45	25651.15	81	0	140
2025.12.05	05:46:00	25650.95	25652.95	25650.15	25650.15	92	0	140
2025.12.05	05:47:00	25650.35	25652.55	25648.85	25649.65	62	0	130
2025.12.05	05:48:00	25649.75	25650.75	25648.45	25649.25	95	0	140
2025.12.05	05:49:00	25649.35	25651.65	25648.95	25649.95	68	0	140
2025.12.05	05:50:00	25650.15	25651.75	25649.45	25651.75	84	0	140
2025.12.05	05:51:00	25651.95	25652.25	25651.15	25652.25	67	0	140
2025.12.05	05:52:00	25652.45	25653.65	25651.45	25653.55	66	0	130
2025.12.05	05:53:00	25653.45	25657.55	25653.45	25656.95	70	0	130
2025.12.05	05:54:00	25655.95	25657.55	25654.75	25656.55	57	0	130
2025.12.05	05:55:00	25656.75	25660.55	25656.55	25659.25	92	0	130
2025.12.05	05:56:00	25659.15	25659.95	25656.15	25657.45	105	0	130
2025.12.05	05:57:00	25657.65	25662.85	25657.45	25661.45	77	0	140
2025.12.05	05:58:00	25661.35	25664.85	25660.95	25660.95	96	0	140
2025.12.05	05:59:00	25661.25	25663.25	25658.45	25658.75	69	0	140
2025.12.05	06:00:00	25658.25	25662.45	25655.65	25662.45	133	0	140
2025.12.05	06:01:00	25662.65	25665.45	25662.45	25664.45	83	0	150
2025.12.05	06:02:00	25664.55	25668.65	25664.55	25667.95	86	0	150
2025.12.05	06:03:00	25668.05	25668.95	25667.05	25668.95	80	0	150
2025.12.05	06:04:00	25668.65	25670.35	25668.45	25669.15	62	0	150
2025.12.05	06:05:00	25668.15	25669.75	25667.95	25669.25	58	0	140
2025.12.05	06:06:00	25669.35	25670.95	25667.55	25668.55	88	0	130
2025.12.05	06:07:00	25668.45	25673.95	25668.45	25672.15	102	0	130
2025.12.05	06:08:00	25672.25	25674.35	25670.65	25673.65	112	0	140
2025.12.05	06:09:00	25673.45	25674.45	25671.65	25672.65	114	0	150
2025.12.05	06:10:00	25671.95	25673.55	25670.55	25670.55	100	0	150
2025.12.05	06:11:00	25670.45	25673.95	25670.15	25673.65	94	0	150
2025.12.05	06:12:00	25673.45	25675.15	25673.15	25674.35	54	0	140
2025.12.05	06:13:00	25674.45	25674.95	25672.15	25673.75	85	0	130
2025.12.05	06:14:00	25672.85	25673.85	25670.25	25670.45	56	0	140
2025.12.05	06:15:00	25670.35	25671.95	25668.35	25668.95	68	0	140
2025.12.05	06:16:00	25668.85	25669.15	25662.75	25664.65	88	0	140
2025.12.05	06:17:00	25665.25	25665.75	25663.15	25663.15	88	0	140
2025.12.05	06:18:00	25663.45	25665.35	25661.75	25664.95	82	0	140
2025.12.05	06:19:00	25665.25	25666.75	25664.75	25666.75	63	0	140
2025.12.05	06:20:00	25665.95	25667.15	25665.15	25665.75	79	0	140
2025.12.05	06:21:00	25665.45	25667.85	25664.45	25667.75	68	0	140
2025.12.05	06:22:00	25667.45	25669.35	25663.95	25664.75	60	0	140
2025.12.05	06:23:00	25664.45	25665.95	25662.75	25662.95	57	0	140
2025.12.05	06:24:00	25662.75	25663.45	25659.95	25660.15	84	0	140
2025.12.05	06:25:00	25659.75	25662.75	25658.85	25662.25	82	0	140
2025.12.05	06:26:00	25661.95	25664.45	25661.75	25663.25	59	0	140
2025.12.05	06:27:00	25663.35	25664.75	25655.95	25659.15	137	0	140
2025.12.05	06:28:00	25659.35	25661.95	25658.65	25660.15	135	0	150
2025.12.05	06:29:00	25660.45	25664.75	25660.45	25664.25	104	0	140
2025.12.05	06:30:00	25664.75	25665.45	25661.45	25665.15	117	0	140
2025.12.05	06:31:00	25665.35	25665.95	25662.45	25665.05	85	0	150
2025.12.05	06:32:00	25665.45	25667.35	25664.95	25666.45	83	0	140
2025.12.05	06:33:00	25667.45	25669.35	25667.45	25667.75	98	0	140
2025.12.05	06:34:00	25667.95	25668.75	25667.25	25667.95	62	0	140
2025.12.05	06:35:00	25667.85	25670.35	25666.95	25668.45	75	0	140
2025.12.05	06:36:00	25668.75	25670.25	25668.65	25669.85	56	0	140
2025.12.05	06:37:00	25668.95	25669.25	25666.85	25667.65	99	0	140
2025.12.05	06:38:00	25667.45	25667.95	25665.85	25667.85	78	0	130
2025.12.05	06:39:00	25667.95	25669.25	25667.75	25667.95	62	0	140
2025.12.05	06:40:00	25667.75	25667.85	25665.75	25666.65	75	0	140
2025.12.05	06:41:00	25666.45	25667.55	25664.25	25665.75	79	0	130
2025.12.05	06:42:00	25665.05	25665.75	25661.25	25661.55	82	0	130
2025.12.05	06:43:00	25661.95	25664.15	25661.25	25664.15	58	0	130
2025.12.05	06:44:00	25664.45	25664.65	25661.35	25661.55	40	0	130
2025.12.05	06:45:00	25661.45	25661.95	25657.85	25658.75	55	0	130
2025.12.05	06:46:00	25658.35	25661.35	25658.35	25660.25	50	0	140
2025.12.05	06:47:00	25660.35	25662.45	25659.45	25661.75	44	0	140
2025.12.05	06:48:00	25661.45	25663.95	25661.45	25663.75	51	0	140
2025.12.05	06:49:00	25663.95	25664.05	25662.25	25663.05	45	0	130
2025.12.05	06:50:00	25663.55	25666.05	25663.55	25664.65	48	0	130
2025.12.05	06:51:00	25664.75	25665.55	25663.25	25663.25	40	0	130
2025.12.05	06:52:00	25663.55	25665.75	25662.75	25665.25	62	0	130
2025.12.05	06:53:00	25664.75	25667.15	25664.65	25666.75	51	0	130
