branch,mode,month,worst_intramonth_dd_amt,worst_intramonth_dd_pct
p2_filter_test2,full,2022-11,-5015.65,-1.427
p2_filter_test2,full,2022-12,-2560.39,-0.687
p2_filter_test2,full,2023-01,-5027.49,-1.306
p2_filter_test2,full,2023-02,-4424.65,-1.095
p2_filter_test2,full,2023-03,-7109.35,-1.759
p2_filter_test2,full,2023-04,-4316.46,-1.018
p2_filter_test2,full,2023-05,-4927.97,-1.082
p2_filter_test2,full,2023-06,-2612.34,-0.542
p2_filter_test2,full,2023-07,-5112.78,-1.035
p2_filter_test2,full,2023-08,-3275.88,-0.651
p2_filter_test2,full,2023-09,-4815.64,-0.905
p2_filter_test2,full,2023-10,-5893.69,-1.108
p2_filter_test2,full,2023-11,-12181.45,-2.29
p2_filter_test2,full,2023-12,-16076.61,-3.023
p2_filter_test2,full,2024-01,-10285.5,-1.934
p2_filter_test2,full,2024-02,-4332.29,-0.767
p2_filter_test2,full,2024-03,-6530.66,-1.119
p2_filter_test2,full,2024-04,-5471.34,-0.926
p2_filter_test2,full,2024-05,-14458.55,-2.448
p2_filter_test2,full,2024-06,-5961.06,-0.993
p2_filter_test2,full,2024-07,-3550.44,-0.564
p2_filter_test2,full,2024-08,-4561.74,-0.725
p2_filter_test2,full,2024-09,-4350.77,-0.643
p2_filter_test2,full,2024-10,-11027.16,-1.58
p2_filter_test2,full,2024-11,-12133.98,-1.639
p2_filter_test2,full,2024-12,-13495.72,-1.823
p2_filter_test2,full,2025-01,-3901.93,-0.508
p2_filter_test2,full,2025-02,-3291.34,-0.408
p2_filter_test2,full,2025-03,-8390.87,-1.023
p2_filter_test2,full,2025-04,-4984.18,-0.599
p2_filter_test2,full,2025-05,-6145.74,-0.686
p2_filter_test2,full,2025-06,-9652.74,-1.044
p2_filter_test2,full,2025-07,-6573.5,-0.688
p2_filter_test2,full,2025-08,-11200.25,-1.105
p2_filter_test2,full,2025-09,-10693.49,-1.054
p2_filter_test2,full,2025-10,-7310.02,-0.71
p2_filter_test2,full,2025-11,-3813.87,-0.358
p2_filter_test2,full,2025-12,-4934.0,-0.452
p2_filter_test2,full,2026-01,-13043.98,-1.192
p2_filter_test2,full,2026-02,-13329.37,-1.218
