branch,mode,month,monthly_pnl,monthly_return_on_mode_start_pct,month_end_equity,month_end_drawdown_amt,month_end_drawdown_pct
p2_filter_test3,full,2012-12,376.09,0.836,48712.06,-47.82,-0.098
p2_filter_test3,full,2013-01,440.44,0.979,49152.51,-16.94,-0.034
p2_filter_test3,full,2013-02,-75.98,-0.169,49076.53,-256.46,-0.52
p2_filter_test3,full,2013-03,341.7,0.759,49418.23,-109.4,-0.221
p2_filter_test3,full,2013-04,539.54,1.199,49957.77,-282.24,-0.562
p2_filter_test3,full,2013-05,375.17,0.834,50332.93,-41.68,-0.083
p2_filter_test3,full,2013-06,193.89,0.431,50526.83,-149.41,-0.295
p2_filter_test3,full,2013-07,561.97,1.249,51088.8,-39.91,-0.078
p2_filter_test3,full,2013-08,-165.81,-0.368,50922.99,-205.72,-0.402
p2_filter_test3,full,2013-09,184.06,0.409,51107.05,-90.29,-0.176
p2_filter_test3,full,2013-10,528.81,1.175,51635.86,0.0,0.0
p2_filter_test3,full,2013-11,600.02,1.333,52235.88,0.0,0.0
p2_filter_test3,full,2013-12,619.45,1.377,52855.34,0.0,0.0
p2_filter_test3,full,2014-01,962.36,2.139,53817.69,-0.63,-0.001
p2_filter_test3,full,2014-02,584.56,1.299,54402.25,-178.26,-0.327
p2_filter_test3,full,2014-03,654.95,1.455,55057.2,0.0,0.0
p2_filter_test3,full,2014-04,942.13,2.094,55999.33,-109.83,-0.196
p2_filter_test3,full,2014-05,1160.45,2.579,57159.78,0.0,0.0
p2_filter_test3,full,2014-06,495.15,1.1,57654.94,0.0,0.0
p2_filter_test3,full,2014-07,1599.24,3.554,59254.18,-60.72,-0.102
p2_filter_test3,full,2014-08,573.41,1.274,59827.59,-36.09,-0.06
p2_filter_test3,full,2014-09,1867.24,4.149,61694.83,0.0,0.0
p2_filter_test3,full,2014-10,1228.4,2.73,62923.23,0.0,0.0
p2_filter_test3,full,2014-11,169.68,0.377,63092.91,0.0,0.0
p2_filter_test3,full,2014-12,245.09,0.545,63338.01,-166.27,-0.262
p2_filter_test3,full,2015-01,719.04,1.598,64057.05,0.0,0.0
p2_filter_test3,full,2015-02,812.41,1.805,64869.45,-100.3,-0.154
p2_filter_test3,full,2015-03,1133.85,2.52,66003.3,0.0,0.0
p2_filter_test3,full,2015-04,2981.55,6.626,68984.85,0.0,0.0
