ts,dir,price,volume,profit,comment,source
2026-01-22 19:15:00,long,25547.78,0.41,0.00,P2_B|LONG|S=8|ATR=191.15786|REG,mt5_old_report
2026-01-22 19:45:00,long,25559.88,0.41,0.00,P2_B|LONG|S=8|ATR=191.15786|REG,mt5_old_report
2026-01-23 11:36:25,short,25440.25,0.62,-62.20,sl 25440.25,mt5_old_report
2026-01-23 11:36:25,short,25440.25,0.41,-44.09,sl 25440.25,mt5_old_report
2026-01-23 11:36:25,short,25440.25,0.41,-49.05,sl 25440.25,mt5_old_report
2026-01-23 15:05:00,long,25497.65,0.55,0.00,P2_B|LONG|S=7|ATR=176.63286|REG,mt5_old_report
2026-01-23 16:30:00,long,25473.3,0.45,0.00,P2_B|LONG|S=5|ATR=172.18286|REG,mt5_old_report
2026-01-23 17:00:00,long,25532.08,0.44,0.00,P2_B|LONG|S=7|ATR=176.03143|REG,mt5_old_report
2026-01-23 19:51:38,short,25568.84,0.45,42.99,sl 25568.98,mt5_old_report
2026-01-23 19:51:41,short,25565.76,0.44,14.82,sl 25565.90,mt5_old_report
2026-01-23 19:51:42,short,25565.32,0.55,37.22,sl 25565.42,mt5_old_report
2026-01-23 19:55:00,long,25560.23,0.62,0.00,P2_B|LONG|S=6|ATR=188.85286|REG,mt5_old_report
2026-01-26 01:05:00,short,25328.76,0.62,-143.51,sl 25483.45,mt5_old_report
2026-01-29 16:45:00,short,25824.63,0.42,0.00,P2_B|SHORT|S=7|ATR=134.98929|RE,mt5_old_report
2026-01-29 17:15:00,short,25593.63,0.25,0.00,P2_B|SHORT|S=7|ATR=151.39643|RE,mt5_old_report
2026-01-29 17:35:40,long,25556.58,0.42,112.58,tp 25556.63,mt5_old_report
2026-01-29 17:45:00,short,25497.93,0.24,0.00,P2_B|SHORT|S=7|ATR=159.11786|RE,mt5_old_report
2026-01-29 18:14:39,long,25539.23,0.25,13.60,sl 25539.05,mt5_old_report
2026-01-29 18:15:00,short,25539.33,0.35,0.00,P2_B|SHORT|S=8|ATR=164.43214|RE,mt5_old_report
2026-01-29 18:15:02,long,25545.36,0.24,-11.38,sl 25545.22,mt5_old_report
2026-01-29 19:15:38,long,25689.38,0.35,-52.52,sl 25689.38,mt5_old_report
2026-01-29 20:25:00,short,25713.68,0.19,0.00,P2_B|SHORT|S=6|ATR=166.62143|RE,mt5_old_report
2026-01-29 20:55:00,short,25736.03,0.19,0.00,P2_B|SHORT|S=6|ATR=168.76786|RE,mt5_old_report
2026-01-29 22:30:00,short,25731.83,0.28,0.00,P2_B|SHORT|S=6|ATR=169.38571|RE,mt5_old_report
2026-01-29 22:52:41,long,25848.13,0.19,-25.55,sl 25848.08,mt5_old_report
2026-01-29 22:53:18,long,25849.79,0.19,-21.61,sl 25849.79,mt5_old_report
2026-01-29 22:57:45,long,25889.17,0.28,-44.06,sl 25889.14,mt5_old_report
